company Name,link,established,members,address
講談社 ViVi編集部,https://www.vivi.tv,東京都文京区音羽2－12－21,None,None
レンティオ株式会社,https://www.rentio.jp,Founded on 2015/04,50 members,東京都品川区大井4-6-1 サクラビル3F
レオス・キャピタルワークス株式会社,https://www.rheos.jp,Founded on 2003/04,70 members,東京都千代田区丸の内1-11-1 パシフィックセンチュリープレイス丸の内27F
ピクシブ株式会社,https://www.pixiv.co.jp,Founded on 2005/07,180 members,東京都渋谷区千駄ヶ谷4-23-5 JPR千駄ヶ谷ビル6F
株式会社ZUU,https://zuu.co.jp,Founded on 2013/04,70 members,東京都目黒区青葉台3-6-28 住友不動産青葉台タワー9階
株式会社ソフトギア,http://www.soft-gear.co.jp,Founded on 2008/02,130 members,None
株式会社Plott,https://plott.tokyo,Founded on 2017/08,26 members,東京都渋谷区代々木3-36-8 B棟 地下 (旧株式会社ファボ）
ワンメディア株式会社,https://onemedia.jp,Founded on 2014/06,100 members,東京都目黒区中目黒1-9-3 ROJU NAKAMEGURO　2-5F（受付3F）
株式会社ニューズピックス,https://www.uzabase.com/,Founded on 2015/04,80 members,〒106-0032 東京都港区六本木7-7-7 TRI-SEVEN ROPPONGI 13F
フラグマン株式会社,https://flagman.co.jp,Founded on 2018/10,5 members,None
講談社 ViVi編集部,https://www.vivi.tv,東京都文京区音羽2－12－21,None,None
レンティオ株式会社,https://www.rentio.jp,Founded on 2015/04,50 members,東京都品川区大井4-6-1 サクラビル3F
レオス・キャピタルワークス株式会社,https://www.rheos.jp,Founded on 2003/04,70 members,東京都千代田区丸の内1-11-1 パシフィックセンチュリープレイス丸の内27F
ピクシブ株式会社,https://www.pixiv.co.jp,Founded on 2005/07,180 members,東京都渋谷区千駄ヶ谷4-23-5 JPR千駄ヶ谷ビル6F
株式会社ZUU,https://zuu.co.jp,Founded on 2013/04,70 members,東京都目黒区青葉台3-6-28 住友不動産青葉台タワー9階
株式会社ソフトギア,http://www.soft-gear.co.jp,Founded on 2008/02,130 members,None
株式会社Plott,https://plott.tokyo,Founded on 2017/08,26 members,東京都渋谷区代々木3-36-8 B棟 地下 (旧株式会社ファボ）
ワンメディア株式会社,https://onemedia.jp,Founded on 2014/06,100 members,東京都目黒区中目黒1-9-3 ROJU NAKAMEGURO　2-5F（受付3F）
株式会社ニューズピックス,https://www.uzabase.com/,Founded on 2015/04,80 members,〒106-0032 東京都港区六本木7-7-7 TRI-SEVEN ROPPONGI 13F
フラグマン株式会社,https://flagman.co.jp,Founded on 2018/10,5 members,None
株式会社ニューステクノロジー,http://www.newstech.co.jp,Founded on 2018/03,18 members,None
